Unnamed: 0,observation_date,CPIAUCSL,CPILFESL,UNRATE,DCOILWTICO,VIXCLS,DTWEXBGS,GOLD,MOVE,SP500,Open,High,Low,GS10,FEDFUNDS,Date,SMA_10,SMA_50,EMA_10,EMA_50,ROC_10,RSI_14,BB_upper,BB_lower,Volatility_20
79,2016-10-07,241.741,249.142,4.9,49.76,13.48,113.2915,1321.51,60.6,2153.74,2164.19,2165.86,2144.85,1.76,0.4,2016-10-07,2165.348,2065.5386000000003,2155.319676764243,2094.515719444612,-0.00913691571586317,61.698991108858806,2225.4829515708393,2054.4760484291614,0.012866776865828187
80,2016-10-14,241.741,249.142,4.9,50.35,16.12,113.7119,1253.36,62.8,2132.98,2139.68,2149.19,2132.98,1.76,0.4,2016-10-14,2160.3589999999995,2066.611,2151.2579173525623,2096.024122603647,-0.02285523187363414,50.73027314112289,2225.0813565342446,2058.269643465755,0.012201921574214243
81,2016-10-21,241.741,249.142,4.9,50.61,13.34,113.9015,1253.45,65.0,2141.16,2139.43,2142.63,2130.09,1.76,0.4,2016-10-21,2156.0699999999997,2067.4501999999998,2149.421932379369,2097.794157011347,-0.019637828804285773,44.50379232987934,2224.7518114441864,2062.8021885558137,0.012217765298943679
82,2016-10-28,241.741,249.142,4.9,48.72,16.19,114.0931,1266.05,57.1,2126.41,2132.23,2140.72,2119.36,1.76,0.4,2016-10-28,2150.3239999999996,2069.5176,2145.237944674029,2098.916346932471,-0.02631108994583009,37.11575153699382,2223.598398585873,2066.989601414127,0.012336504264547514
83,2016-11-04,242.026,249.481,4.7,44.07,22.51,113.5828,1270.03,64.4,2085.18,2083.79,2099.07,2083.79,2.14,0.41,2016-11-04,2141.9379999999996,2069.4378,2134.31831836966,2098.3776666606095,-0.038662265333972656,30.650385154061638,2221.722812640288,2070.2611873597116,0.012847433982047102
84,2016-11-11,242.026,249.481,4.7,43.39,14.17,115.9375,1303.82,74.6,2164.45,2162.71,2165.92,2152.49,2.14,0.41,2016-11-11,2140.3849999999998,2070.9246,2139.7968059388127,2100.968738556272,-0.007123918568060383,46.91436612168319,2208.5123182473662,2096.175681752634,0.014729439073690441
85,2016-11-18,242.026,249.481,4.7,45.69,12.85,117.5936,1228.5,82.6,2181.9,2186.85,2189.89,2180.38,2.14,0.41,2016-11-18,2145.794,2072.7288,2147.4519321317557,2104.1425135148497,0.025420502770454156,49.65845909451944,2208.8228232973333,2103.7601767026663,0.013127458507503457
86,2016-11-25,242.026,249.481,4.7,46.72,12.34,118.02,1207.53,81.6,2213.35,2206.27,2213.35,2206.27,2.14,0.41,2016-11-25,2153.2129999999997,2076.7484,2159.4333990168907,2108.425160043679,0.034681837730698106,54.259869371712625,2217.25314032584,2103.67485967416,0.013201913036233665
87,2016-12-02,242.637,249.92,4.7,51.7,14.12,117.3116,1184.53,79.7,2191.95,2191.12,2197.95,2188.37,2.49,0.54,2016-12-02,2155.939,2080.4764,2165.3455082865466,2111.7006439635347,0.012593027177101535,53.24881590515894,2220.4874558213214,2103.461544178678,0.013078667985248415
88,2016-12-09,242.637,249.92,4.7,51.51,11.75,117.2834,1175.0,82.1,2259.53,2249.73,2259.8,2249.23,2.49,0.54,2016-12-09,2165.0649999999996,2084.4472,2182.469961325356,2117.497873612024,0.04208885424785658,59.71947315690444,2239.1125780197644,2093.286421980235,0.014679055364597477
89,2016-12-16,242.637,249.92,4.7,51.93,12.2,118.3584,1162.9,75.5,2258.07,2266.81,2268.05,2254.24,2.49,0.54,2016-12-16,2175.498,2088.7297999999996,2196.215422902564,2123.0105060193955,0.04844131603629065,68.16635055227046,2254.128206805289,2086.7177931947103,0.014678947449743978
90,2016-12-23,242.637,249.92,4.7,52.01,11.44,118.7856,1131.56,78.2,2263.79,2260.25,2263.79,2258.84,2.49,0.54,2016-12-23,2188.579,2095.565,2208.501709647552,2128.531270489223,0.06132734484148927,67.65847714585281,2267.9583569850292,2080.979643014971,0.014670049346385177
91,2016-12-30,242.637,249.92,4.7,53.75,14.04,118.3466,1133.5,72.6,2238.83,2251.61,2253.58,2233.62,2.49,0.54,2016-12-30,2198.346,2102.735,2214.015944257088,2132.8567108621946,0.04561546077826972,60.52168483197091,2274.990502707744,2079.4254972922563,0.014952674560035047
92,2017-01-06,243.618,250.467,4.7,53.98,11.32,118.3495,1157.49,71.6,2276.98,2271.14,2282.1,2264.06,2.43,0.65,2017-01-06,2213.4030000000002,2110.1366,2225.463954392163,2138.5086045538737,0.07080948641136953,64.04921295458657,2289.364619558432,2074.362380441568,0.015351527746622195
93,2017-01-13,243.618,250.467,4.7,52.36,11.23,117.9884,1174.35,75.2,2274.64,2272.74,2278.68,2271.51,2.43,0.65,2017-01-13,2232.349,2116.8246,2234.405053593588,2143.8470906498,0.0908602614642382,66.13290632506005,2302.1069263627046,2072.1800736372948,0.015227457631262115
94,2017-01-20,243.618,250.467,4.7,52.33,11.54,118.3182,1194.8,74.5,2271.31,2269.96,2276.96,2265.01,2.43,0.65,2017-01-20,2243.035,2124.6498,2241.115043849299,2148.8456361145136,0.049370509829286924,69.35930808632124,2312.5791551789976,2070.8408448210025,0.015239518289292008
95,2017-01-27,243.618,250.467,4.7,53.18,10.58,117.0735,1202.07,75.5,2294.69,2299.02,2299.02,2291.62,2.43,0.65,2017-01-27,2254.314,2133.248,2250.8559449676086,2154.5650229335524,0.051693478161235706,70.60971353397588,2325.310493795312,2074.797506204687,0.014028535041436961
96,2017-02-03,244.006,250.998,4.6,53.81,10.97,115.6259,1188.74,72.2,2297.42,2288.54,2298.31,2287.88,2.42,0.66,2017-02-03,2262.721,2140.8408,2259.3221367916794,2160.1671788969425,0.03798314771726119,73.72173671799138,2336.965895319629,2078.968104680371,0.014036452090011564
97,2017-02-10,244.006,250.998,4.6,53.84,10.85,116.148,1217.97,67.4,2316.1,2312.27,2319.23,2311.1,2.42,0.66,2017-02-10,2275.136,2148.2018,2269.6453846477375,2166.2821914892193,0.056639065672118516,84.16987274341517,2351.429867451521,2079.6451325484786,0.013944008395875788
98,2017-02-17,244.006,250.998,4.6,53.41,11.49,116.4035,1231.31,69.6,2351.16,2343.01,2351.16,2339.58,2.42,0.66,2017-02-17,2284.299,2155.2252,2284.466223802694,2173.5323016268967,0.04055268130982981,81.78691817903226,2371.367343235104,2077.9966567648958,0.014175244323385178
99,2017-02-24,244.006,250.998,4.6,53.99,11.47,115.8143,1237.68,69.8,2367.34,2355.73,2367.34,2352.87,2.42,0.66,2017-02-24,2295.226,2162.1281999999997,2299.534183111295,2181.1326035238812,0.04839088247928536,81.70781752274121,2391.122336630892,2079.6016633691083,0.013951529953366792
100,2017-03-03,243.892,250.944,4.4,53.33,10.96,116.6438,1255.34,69.8,2383.12,2380.92,2383.89,2375.39,2.48,0.79,2017-03-03,2307.159,2168.799,2314.731604363787,2189.053677895494,0.05271248658223593,80.67208672086716,2409.089962056167,2086.648037943833,0.013531557581171999
101,2017-03-10,243.892,250.944,4.4,48.05,11.66,116.616,1224.99,65.8,2372.6,2372.52,2376.86,2363.04,2.48,0.79,2017-03-10,2320.5359999999996,2175.5322,2325.2531308430985,2196.2515728799845,0.05974995868377686,83.97337044420203,2421.6336933132648,2097.248306686735,0.013714162743728213
102,2017-03-17,243.892,250.944,4.4,48.34,11.28,115.2783,1200.3,67.7,2378.25,2383.71,2385.71,2377.64,2.48,0.79,2017-03-17,2330.6629999999996,2181.6416,2334.8889252352624,2203.3887661003773,0.04447557729975671,79.10659998038633,2429.782230456044,2114.2837695439566,0.013436741499776052
103,2017-03-24,243.892,250.944,4.4,47.3,12.96,114.6372,1229.38,60.7,2343.98,2350.42,2356.22,2335.74,2.48,0.79,2017-03-24,2337.597,2187.5692,2336.54184791976,2208.902147821931,0.03048394471213034,68.14361140443503,2418.835733165458,2151.110266834542,0.012985992248496215
104,2017-03-31,243.892,250.944,4.4,50.54,12.37,114.7938,1248.59,64.5,2362.72,2364.82,2370.35,2362.6,2.48,0.79,2017-03-31,2346.7380000000003,2193.2090000000003,2341.301511934349,2214.934220456365,0.04024549709198655,69.80421988229168,2420.2655897155296,2169.5074102844696,0.01059975681565307
105,2017-04-07,244.193,251.227,4.4,52.25,12.87,115.0547,1247.25,60.7,2355.54,2356.59,2363.76,2350.74,2.3,0.9,2017-04-07,2352.823,2198.4882000000002,2343.8903279462857,2220.448172595331,0.026517743137417282,75.15410146989097,2419.712654580238,2187.4243454197626,0.010690637608342081
106,2017-04-14,244.193,251.227,4.4,53.19,15.96,114.5368,1265.7,68.7,2328.95,2341.98,2348.26,2328.95,2.3,0.9,2017-04-14,2355.976,2203.7612,2341.1739046833245,2224.703146219044,0.013724090501519015,61.788322823572074,2417.842139740819,2200.85486025918,0.010901703306167595
107,2017-04-21,244.193,251.227,4.4,49.64,14.63,114.8128,1285.59,74.5,2348.69,2354.74,2356.18,2344.51,2.3,0.9,2017-04-21,2359.2349999999997,2209.5922,2342.5404674681745,2229.5653757790815,0.014071067743189003,65.5678425766304,2411.7188205472253,2222.652179452775,0.010576706278749057
108,2017-04-28,244.193,251.227,4.4,49.31,10.82,114.7877,1285.89,77.2,2384.2,2393.68,2393.68,2382.36,2.3,0.9,2017-04-28,2362.5389999999998,2216.344,2350.114927928506,2235.6294786897056,0.014052637846849958,70.90478130439612,2418.385212695276,2228.4527873047236,0.008889740031129675
109,2017-05-05,244.004,251.43,4.4,46.23,10.57,114.7725,1267.86,60.2,2399.29,2392.37,2399.29,2389.38,2.3,0.91,2017-05-05,2365.7339999999995,2223.2834,2359.0558501233227,2242.047538348933,0.013496160247366218,69.98318813999694,2425.9864338422467,2234.9735661577533,0.008887290017949067
110,2017-05-12,244.004,251.43,4.4,47.83,10.4,114.7479,1227.71,58.7,2390.9,2392.44,2392.44,2387.19,2.3,0.91,2017-05-12,2366.5119999999997,2229.1202,2364.8456955554457,2247.88488978623,0.003264627882775706,67.48073902311319,2430.556471640629,2243.1145283593714,0.00900810994686479
111,2017-05-19,244.004,251.43,4.4,50.32,12.04,113.7001,1229.69,55.7,2381.73,2371.37,2389.06,2370.43,2.3,0.91,2017-05-19,2367.425,2234.7722,2367.915569090819,2253.1337176377506,0.0038480991317542124,62.72540427347116,2427.472214174461,2260.4887858255393,0.008560756554094502
112,2017-05-26,244.004,251.43,4.4,49.58,9.81,113.4839,1253.47,57.8,2415.82,2414.5,2416.68,2412.2,2.3,0.91,2017-05-26,2371.182,2241.1672,2376.625465619761,2259.513571848035,0.01579732996951555,62.58466329311021,2434.0452811892264,2267.799718810774,0.008346635877621052
113,2017-06-02,244.163,251.746,4.3,47.68,9.75,113.1908,1267.52,54.1,2439.07,2431.28,2440.23,2427.71,2.19,1.04,2017-06-02,2380.691,2248.5242,2387.979017325259,2266.555000403014,0.040567752284575764,63.58677122400274,2443.0220258282384,2275.265974171762,0.00841586802785857
114,2017-06-09,244.163,251.746,4.3,45.82,10.7,112.9562,1278.28,53.7,2431.77,2436.39,2446.2,2415.7,2.19,1.04,2017-06-09,2387.596,2256.4114,2395.941014175212,2273.034019995053,0.02922479176542292,59.5209205839759,2446.228720087274,2288.105279912726,0.008470383112857324
115,2017-06-16,244.163,251.746,4.3,44.73,10.38,112.6155,1266.31,52.6,2433.15,2431.24,2433.15,2422.88,2.19,1.04,2017-06-16,2395.357,2263.0153999999998,2402.7062843251733,2279.3130780344627,0.03294785908963549,62.28942561396389,2450.6383970749057,2297.5416029250946,0.00833509674764667
116,2017-06-23,244.163,251.746,4.3,42.86,10.02,112.8665,1255.59,51.5,2438.3,2434.65,2441.4,2431.11,2.19,1.04,2017-06-23,2406.292,2269.1834,2409.1778689933235,2285.547859288013,0.04695248931922125,62.21273134024814,2453.8057894733834,2308.4622105266167,0.008327269417620187
117,2017-06-30,244.163,251.746,4.3,46.02,11.18,111.9896,1256.37,51.2,2423.41,2429.2,2432.71,2421.65,2.19,1.04,2017-06-30,2413.764,2274.4168,2411.7655291763554,2290.9542177473068,0.03181347900318898,67.53653905594551,2454.6598602890817,2318.339139710918,0.008474008744419613
118,2017-07-07,244.243,251.985,4.3,44.25,11.19,112.3137,1243.47,55.2,2425.18,2413.52,2426.92,2413.52,2.32,1.15,2017-07-07,2417.862,2279.4198,2414.204523871563,2296.217973914079,0.017188155356094192,64.90692124105006,2458.3196953702873,2322.0813046297126,0.007919612925625973
119,2017-07-14,244.243,251.985,4.3,46.53,9.51,110.9075,1210.29,55.8,2459.27,2449.16,2463.54,2446.69,2.32,1.15,2017-07-14,2423.86,2285.1331999999998,2422.3982468040062,2302.6121710154875,0.024999062222574198,71.93858127828761,2468.5911729549557,2321.0028270450443,0.008324532567220795
